user_id,name,email,user_type,balance
U00048,User 48,user48@gmail.com,normal,4920936
U00049,User 49,user49@gmail.com,vip,631760
U00050,User 50,user50@gmail.com,normal,3181519
U00051,User 51,user51@gmail.com,normal,1542850
U00052,User 52,user52@gmail.com,vip,4393647
U00053,User 53,user53@gmail.com,vip,2939933
U00054,User 54,user54@gmail.com,vip,689599
U00055,User 55,user55@gmail.com,vip,2633133
U00056,User 56,user56@gmail.com,normal,4283935
U00057,User 57,user57@gmail.com,normal,1401421
U00058,User 58,user58@gmail.com,normal,415241
U00059,User 59,user59@gmail.com,normal,1001119
U00060,User 60,user60@gmail.com,normal,581718
U00061,User 61,user61@gmail.com,vip,687014
U00062,User 62,user62@gmail.com,vip,4069034
U00063,User 63,user63@gmail.com,normal,4583616
U00064,User 64,user64@gmail.com,vip,1373566
U00065,User 65,user65@gmail.com,vip,235395
U00066,User 66,user66@gmail.com,normal,283272
U00067,User 67,user67@gmail.com,vip,2566578
U00068,User 68,user68@gmail.com,normal,2085705
U00069,User 69,user69@gmail.com,vip,915995
U00070,User 70,user70@gmail.com,vip,3947763
U00071,User 71,user71@gmail.com,normal,1727825
U00072,User 72,user72@gmail.com,normal,1893684
U00073,User 73,user73@gmail.com,vip,2296706
U00074,User 74,user74@gmail.com,normal,2845155
U00075,User 75,user75@gmail.com,normal,4259892
U00076,User 76,user76@gmail.com,vip,3759302
U00077,User 77,user77@gmail.com,normal,4532640
U00078,User 78,user78@gmail.com,normal,4238014
U00079,User 79,user79@gmail.com,vip,3806699
U00080,User 80,user80@gmail.com,normal,2808335
U00081,User 81,user81@gmail.com,normal,2621181
U00082,User 82,user82@gmail.com,normal,1348304
U00083,User 83,user83@gmail.com,normal,2797440
U00084,User 84,user84@gmail.com,vip,2905899
U00085,User 85,user85@gmail.com,normal,3341239
U00086,User 86,user86@gmail.com,vip,125842
U00087,User 87,user87@gmail.com,vip,4208248
U00088,User 88,user88@gmail.com,vip,918719
U00089,User 89,user89@gmail.com,normal,2659528
U00090,User 90,user90@gmail.com,vip,1566437
U00091,User 91,user91@gmail.com,normal,575249
U00092,User 92,user92@gmail.com,vip,349368
U00093,User 93,user93@gmail.com,vip,2727874
U00094,User 94,user94@gmail.com,vip,4930582
U00095,User 95,user95@gmail.com,vip,4676291
U00096,User 96,user96@gmail.com,normal,784785
U00097,User 97,user97@gmail.com,normal,3371092
U00098,User 98,user98@gmail.com,vip,4391834
U00099,User 99,user99@gmail.com,normal,2014913
U00100,User 100,user100@gmail.com,normal,3980427
U00101,User 101,user101@gmail.com,normal,3270916
U00102,User 102,user102@gmail.com,normal,4440720
U00103,User 103,user103@gmail.com,vip,2464567
U00104,User 104,user104@gmail.com,normal,2021875
U00105,User 105,user105@gmail.com,vip,4908724
U00106,User 106,user106@gmail.com,vip,1019011
U00107,User 107,user107@gmail.com,vip,726603
U00108,User 108,user108@gmail.com,normal,4666145
U00109,User 109,user109@gmail.com,vip,4084127
U00110,User 110,user110@gmail.com,normal,2953639
U00111,User 111,user111@gmail.com,vip,1117661
U00112,User 112,user112@gmail.com,vip,2710197
U00113,User 113,user113@gmail.com,vip,4935898
U00114,User 114,user114@gmail.com,vip,2713241
U00115,User 115,user115@gmail.com,vip,5062984
U00116,User 116,user116@gmail.com,normal,430746
U00117,User 117,user117@gmail.com,vip,1325909
U00118,User 118,user118@gmail.com,vip,2411938
U00119,User 119,user119@gmail.com,normal,4727969
U00120,User 120,user120@gmail.com,normal,4780549
U00121,User 121,user121@gmail.com,vip,1742873
U00122,User 122,user122@gmail.com,normal,3177906
U00123,User 123,user123@gmail.com,vip,2326389
U00124,User 124,user124@gmail.com,vip,184245
U00125,User 125,user125@gmail.com,vip,1134474
U00126,User 126,user126@gmail.com,vip,2540198
U00127,User 127,user127@gmail.com,normal,690060
U00128,User 128,user128@gmail.com,normal,2182962
U00129,User 129,user129@gmail.com,vip,2944868
U00130,User 130,user130@gmail.com,normal,1510659
U00131,User 131,user131@gmail.com,vip,886378
U00132,User 132,user132@gmail.com,normal,1779727
U00133,User 133,user133@gmail.com,normal,4164288
U00134,User 134,user134@gmail.com,vip,2149434
U00135,User 135,user135@gmail.com,normal,4412682
U00136,User 136,user136@gmail.com,vip,1312681
U00137,User 137,user137@gmail.com,normal,2383437
U00138,User 138,user138@gmail.com,vip,478436
U00139,User 139,user139@gmail.com,vip,3623203
U00140,User 140,user140@gmail.com,vip,1541543
U00141,User 141,user141@gmail.com,vip,4594584
U00142,User 142,user142@gmail.com,normal,3549254
U00143,User 143,user143@gmail.com,vip,4915109
U00144,User 144,user144@gmail.com,normal,3111162
U00145,User 145,user145@gmail.com,vip,2010566
U00146,User 146,user146@gmail.com,normal,4032396
U00147,User 147,user147@gmail.com,vip,3539514
U00148,User 148,user148@gmail.com,normal,4277596
U00149,User 149,user149@gmail.com,vip,2206999
U00150,User 150,user150@gmail.com,vip,937166
U00151,User 151,user151@gmail.com,vip,3477191
U00152,User 152,user152@gmail.com,vip,450770
U00153,User 153,user153@gmail.com,vip,2732963
U00154,User 154,user154@gmail.com,vip,2665487
U00155,User 155,user155@gmail.com,normal,1213994
U00156,User 156,user156@gmail.com,normal,4267372
U00157,User 157,user157@gmail.com,normal,3948702
U00158,User 158,user158@gmail.com,normal,3806651
U00159,User 159,user159@gmail.com,normal,397179
U00160,User 160,user160@gmail.com,normal,3570241
U00161,User 161,user161@gmail.com,normal,2319637
U00162,User 162,user162@gmail.com,vip,4046630
U00163,User 163,user163@gmail.com,vip,3582989
U00164,User 164,user164@gmail.com,normal,2726006
U00165,User 165,user165@gmail.com,vip,196015
U00166,User 166,user166@gmail.com,normal,2632401
U00167,User 167,user167@gmail.com,vip,3546475
U00168,User 168,user168@gmail.com,vip,3656693
U00169,User 169,user169@gmail.com,normal,3026670
U00170,User 170,user170@gmail.com,normal,1701158
U00171,User 171,user171@gmail.com,vip,5047389
U00172,User 172,user172@gmail.com,vip,945144
U00173,User 173,user173@gmail.com,normal,353454
U00174,User 174,user174@gmail.com,vip,3707385
U00175,User 175,user175@gmail.com,normal,2190178
U00176,User 176,user176@gmail.com,vip,3501309
U00177,User 177,user177@gmail.com,vip,3235043
U00178,User 178,user178@gmail.com,normal,2717126
U00179,User 179,user179@gmail.com,normal,4034550
U00180,User 180,user180@gmail.com,normal,705552
U00181,User 181,user181@gmail.com,normal,2170140
U00182,User 182,user182@gmail.com,normal,1942647
U00183,User 183,user183@gmail.com,normal,1216971
U00184,User 184,user184@gmail.com,vip,1549958
U00185,User 185,user185@gmail.com,normal,4562628
U00186,User 186,user186@gmail.com,vip,3210973
U00187,User 187,user187@gmail.com,vip,2368785
U00188,User 188,user188@gmail.com,vip,2682046
U00189,User 189,user189@gmail.com,vip,601309
U00190,User 190,user190@gmail.com,normal,4762676
U00191,User 191,user191@gmail.com,vip,538095
U00192,User 192,user192@gmail.com,normal,4697568
U00193,User 193,user193@gmail.com,vip,2651588
U00194,User 194,user194@gmail.com,vip,4313569
U00195,User 195,user195@gmail.com,vip,1838409
U00196,User 196,user196@gmail.com,vip,399519
U00197,User 197,user197@gmail.com,normal,4175154
U00198,User 198,user198@gmail.com,vip,4420149
U00199,User 199,user199@gmail.com,vip,959034
U00200,User 200,user200@gmail.com,normal,4627705
U00201,User 201,user201@gmail.com,vip,1474359
U00202,User 202,user202@gmail.com,vip,3275880
U00203,User 203,user203@gmail.com,normal,3989273
U00204,User 204,user204@gmail.com,normal,4464115
U00205,User 205,user205@gmail.com,vip,1016319
U00206,User 206,user206@gmail.com,normal,833632
U00207,User 207,user207@gmail.com,normal,2378293
U00208,User 208,user208@gmail.com,vip,2016927
U00209,User 209,user209@gmail.com,normal,3461006
U00210,User 210,user210@gmail.com,normal,3909674
U00211,User 211,user211@gmail.com,normal,1241883
U00212,User 212,user212@gmail.com,normal,722967
U00213,User 213,user213@gmail.com,vip,3842565
U00214,User 214,user214@gmail.com,normal,3432125
U00215,User 215,user215@gmail.com,vip,2267532
U00216,User 216,user216@gmail.com,vip,2081793
U00217,User 217,user217@gmail.com,vip,3902172
U00218,User 218,user218@gmail.com,vip,1991740
U00219,User 219,user219@gmail.com,vip,4365513
U00220,User 220,user220@gmail.com,normal,818378
U00221,User 221,user221@gmail.com,vip,4762344
U00222,User 222,user222@gmail.com,normal,2917234
U00223,User 223,user223@gmail.com,vip,3669513
U00224,User 224,user224@gmail.com,normal,4497197
U00225,User 225,user225@gmail.com,vip,3155860
U00226,User 226,user226@gmail.com,vip,1301461
U00227,User 227,user227@gmail.com,normal,2788479
U00228,User 228,user228@gmail.com,normal,2629803
U00229,User 229,user229@gmail.com,vip,349865
U00230,User 230,user230@gmail.com,normal,168709
U00231,User 231,user231@gmail.com,normal,2024406
U00232,User 232,user232@gmail.com,normal,2454802
U00233,User 233,user233@gmail.com,normal,3886792
U00234,User 234,user234@gmail.com,normal,2211083
U00235,User 235,user235@gmail.com,vip,1748726
U00236,User 236,user236@gmail.com,normal,2844024
U00237,User 237,user237@gmail.com,vip,1698027
U00238,User 238,user238@gmail.com,vip,1782428
U00239,User 239,user239@gmail.com,vip,3966270
U00240,User 240,user240@gmail.com,normal,115711
U00241,User 241,user241@gmail.com,normal,575722
U00242,User 242,user242@gmail.com,vip,4495062
U00243,User 243,user243@gmail.com,normal,1603849
U00244,User 244,user244@gmail.com,vip,208848
U00245,User 245,user245@gmail.com,normal,3634930
U00246,User 246,user246@gmail.com,normal,888255
U00247,User 247,user247@gmail.com,vip,3396779
U00248,User 248,user248@gmail.com,vip,2131490
U00249,User 249,user249@gmail.com,vip,2498189
U00250,User 250,user250@gmail.com,vip,150475
U00251,User 251,user251@gmail.com,normal,4333939
U00252,User 252,user252@gmail.com,normal,3099697
U00253,User 253,user253@gmail.com,normal,4095198
U00254,User 254,user254@gmail.com,vip,1674900
U00255,User 255,user255@gmail.com,vip,4399721
U00256,User 256,user256@gmail.com,vip,2935177
U00257,User 257,user257@gmail.com,vip,824867
U00258,User 258,user258@gmail.com,normal,1832929
U00259,User 259,user259@gmail.com,normal,1396302
U00260,User 260,user260@gmail.com,normal,3859770
U00261,User 261,user261@gmail.com,vip,3991923
U00262,User 262,user262@gmail.com,vip,4520481
U00263,User 263,user263@gmail.com,normal,5077856
U00264,User 264,user264@gmail.com,vip,930786
U00265,User 265,user265@gmail.com,normal,4882944
U00266,User 266,user266@gmail.com,normal,1147439
U00267,User 267,user267@gmail.com,vip,1707285
U00268,User 268,user268@gmail.com,vip,1859817
U00269,User 269,user269@gmail.com,vip,2387668
U00270,User 270,user270@gmail.com,normal,1806541
U00271,User 271,user271@gmail.com,vip,2872220
U00272,User 272,user272@gmail.com,normal,4024766
U00273,User 273,user273@gmail.com,vip,2299541
U00274,User 274,user274@gmail.com,normal,3820395
U00275,User 275,user275@gmail.com,normal,2782882
U00276,User 276,user276@gmail.com,normal,4421532
U00277,User 277,user277@gmail.com,vip,1019458
U00278,User 278,user278@gmail.com,vip,4957919
U00279,User 279,user279@gmail.com,normal,4579720
U00280,User 280,user280@gmail.com,vip,402441
U00281,User 281,user281@gmail.com,vip,1383285
U00282,User 282,user282@gmail.com,vip,2250283
U00283,User 283,user283@gmail.com,vip,2326255
U00284,User 284,user284@gmail.com,vip,1128915
U00285,User 285,user285@gmail.com,vip,4365216
U00286,User 286,user286@gmail.com,normal,1495355
U00287,User 287,user287@gmail.com,vip,109294
U00288,User 288,user288@gmail.com,normal,2120275
U00289,User 289,user289@gmail.com,vip,1919442
U00290,User 290,user290@gmail.com,normal,1008870
U00291,User 291,user291@gmail.com,normal,2231895
U00292,User 292,user292@gmail.com,vip,4315307
U00293,User 293,user293@gmail.com,normal,368497
U00294,User 294,user294@gmail.com,vip,3934123
U00295,User 295,user295@gmail.com,vip,1836216
U00296,User 296,user296@gmail.com,normal,1675145
U00297,User 297,user297@gmail.com,vip,1541951
U00298,User 298,user298@gmail.com,vip,4990195
U00299,User 299,user299@gmail.com,normal,3520021
U00300,User 300,user300@gmail.com,normal,2672164
U00301,User 301,user301@gmail.com,vip,1783512
U00302,User 302,user302@gmail.com,normal,475603
U00303,User 303,user303@gmail.com,vip,2892592
U00304,User 304,user304@gmail.com,vip,3092219
U00305,User 305,user305@gmail.com,normal,2436079
U00306,User 306,user306@gmail.com,normal,3997640
U00307,User 307,user307@gmail.com,vip,331011
U00308,User 308,user308@gmail.com,normal,1992731
U00309,User 309,user309@gmail.com,vip,2260758
U00310,User 310,user310@gmail.com,normal,844922
U00311,User 311,user311@gmail.com,normal,4275971
U00312,User 312,user312@gmail.com,normal,3689175
U00313,User 313,user313@gmail.com,vip,1924020
U00314,User 314,user314@gmail.com,normal,2502587
U00315,User 315,user315@gmail.com,normal,300700
U00316,User 316,user316@gmail.com,normal,1156751
U00317,User 317,user317@gmail.com,normal,3000974
U00318,User 318,user318@gmail.com,normal,505543
U00319,User 319,user319@gmail.com,vip,862841
U00320,User 320,user320@gmail.com,vip,4316524
U00321,User 321,user321@gmail.com,vip,428992
U00322,User 322,user322@gmail.com,normal,4655812
U00323,User 323,user323@gmail.com,vip,3220858
U00324,User 324,user324@gmail.com,vip,1143903
U00325,User 325,user325@gmail.com,vip,552131
U00326,User 326,user326@gmail.com,normal,836289
U00327,User 327,user327@gmail.com,vip,2336317
U00328,User 328,user328@gmail.com,vip,751591
U00329,User 329,user329@gmail.com,vip,4046567
U00330,User 330,user330@gmail.com,normal,4347064
U00331,User 331,user331@gmail.com,vip,4080215
U00332,User 332,user332@gmail.com,normal,3956617
U00333,User 333,user333@gmail.com,normal,449815
U00334,User 334,user334@gmail.com,normal,4498253
U00335,User 335,user335@gmail.com,vip,2791194
U00336,User 336,user336@gmail.com,normal,2558808
U00337,User 337,user337@gmail.com,normal,1444250
U00338,User 338,user338@gmail.com,normal,1881102
U00339,User 339,user339@gmail.com,vip,3419599
U00340,User 340,user340@gmail.com,normal,596268
U00341,User 341,user341@gmail.com,normal,821325
U00342,User 342,user342@gmail.com,vip,4737138
U00343,User 343,user343@gmail.com,normal,1381947
U00344,User 344,user344@gmail.com,normal,3221228
U00345,User 345,user345@gmail.com,vip,3772459
U00346,User 346,user346@gmail.com,vip,545820
U00347,User 347,user347@gmail.com,normal,2714459
U00348,User 348,user348@gmail.com,normal,969926
U00349,User 349,user349@gmail.com,normal,4330247
U00350,User 350,user350@gmail.com,normal,1982744
U00351,User 351,user351@gmail.com,vip,1420585
U00352,User 352,user352@gmail.com,normal,4473843
U00353,User 353,user353@gmail.com,vip,3304463
U00354,User 354,user354@gmail.com,vip,3546074
U00355,User 355,user355@gmail.com,normal,3682198
U00356,User 356,user356@gmail.com,normal,3875126
U00357,User 357,user357@gmail.com,vip,1650696
U00358,User 358,user358@gmail.com,normal,4742403
U00359,User 359,user359@gmail.com,vip,1580816
U00360,User 360,user360@gmail.com,normal,4738267
U00361,User 361,user361@gmail.com,normal,844694
U00362,User 362,user362@gmail.com,normal,935133
U00363,User 363,user363@gmail.com,vip,2969403
U00364,User 364,user364@gmail.com,vip,3550842
U00365,User 365,user365@gmail.com,vip,877234
U00366,User 366,user366@gmail.com,normal,4735324
U00367,User 367,user367@gmail.com,normal,2939001
U00368,User 368,user368@gmail.com,normal,618610
U00369,User 369,user369@gmail.com,vip,1462963
U00370,User 370,user370@gmail.com,vip,3046620
U00371,User 371,user371@gmail.com,normal,2734308
U00372,User 372,user372@gmail.com,normal,4651248
U00373,User 373,user373@gmail.com,normal,2350536
U00374,User 374,user374@gmail.com,normal,4522791
U00375,User 375,user375@gmail.com,normal,4184784
U00376,User 376,user376@gmail.com,normal,2845224
U00377,User 377,user377@gmail.com,vip,4721338
U00378,User 378,user378@gmail.com,vip,1317038
U00379,User 379,user379@gmail.com,normal,4249100
U00380,User 380,user380@gmail.com,normal,1133912
U00381,User 381,user381@gmail.com,normal,1981228
U00382,User 382,user382@gmail.com,normal,3577741
U00383,User 383,user383@gmail.com,vip,2408287
U00384,User 384,user384@gmail.com,vip,4433353
U00385,User 385,user385@gmail.com,vip,176668
U00386,User 386,user386@gmail.com,vip,2005193
U00387,User 387,user387@gmail.com,vip,4237068
U00388,User 388,user388@gmail.com,vip,4235663
U00389,User 389,user389@gmail.com,normal,1391905
U00390,User 390,user390@gmail.com,normal,2568466
U00391,User 391,user391@gmail.com,vip,734800
U00392,User 392,user392@gmail.com,vip,1021702
U00393,User 393,user393@gmail.com,normal,714540
U00394,User 394,user394@gmail.com,vip,4727875
U00395,User 395,user395@gmail.com,vip,4778337
U00396,User 396,user396@gmail.com,vip,4292885
U00397,User 397,user397@gmail.com,vip,4414153
U00398,User 398,user398@gmail.com,normal,2861919
U00399,User 399,user399@gmail.com,vip,3792174
U00400,User 400,user400@gmail.com,normal,2416108
U00401,User 401,user401@gmail.com,normal,3141341
U00402,User 402,user402@gmail.com,vip,5092628
U00403,User 403,user403@gmail.com,normal,2463011
U00404,User 404,user404@gmail.com,normal,2412487
U00405,User 405,user405@gmail.com,vip,1413735
U00406,User 406,user406@gmail.com,vip,2410361
U00407,User 407,user407@gmail.com,normal,1187171
U00408,User 408,user408@gmail.com,normal,1594218
U00409,User 409,user409@gmail.com,normal,2364736
U00410,User 410,user410@gmail.com,vip,4605136
U00411,User 411,user411@gmail.com,vip,4145294
U00412,User 412,user412@gmail.com,normal,3106596
U00413,User 413,user413@gmail.com,normal,343965
U00414,User 414,user414@gmail.com,normal,3670534
U00415,User 415,user415@gmail.com,vip,3521595
U00416,User 416,user416@gmail.com,normal,1618062
U00417,User 417,user417@gmail.com,vip,2396490
U00418,User 418,user418@gmail.com,vip,972016
U00419,User 419,user419@gmail.com,normal,1170172
U00420,User 420,user420@gmail.com,vip,417035
U00421,User 421,user421@gmail.com,vip,2127790
U00422,User 422,user422@gmail.com,vip,3559054
U00423,User 423,user423@gmail.com,normal,5029790
U00424,User 424,user424@gmail.com,normal,2641543
U00425,User 425,user425@gmail.com,normal,1602571
U00426,User 426,user426@gmail.com,normal,620234
U00427,User 427,user427@gmail.com,vip,3168040
U00428,User 428,user428@gmail.com,normal,4410234
U00429,User 429,user429@gmail.com,normal,2552572
U00430,User 430,user430@gmail.com,normal,4704183
U00431,User 431,user431@gmail.com,vip,1142873
U00432,User 432,user432@gmail.com,normal,914148
U00433,User 433,user433@gmail.com,normal,4339830
U00434,User 434,user434@gmail.com,vip,2877523
U00435,User 435,user435@gmail.com,normal,1867179
U00436,User 436,user436@gmail.com,vip,4735632
U00437,User 437,user437@gmail.com,vip,157641
U00438,User 438,user438@gmail.com,normal,4419399
U00439,User 439,user439@gmail.com,vip,1221332
U00440,User 440,user440@gmail.com,vip,677011
U00441,User 441,user441@gmail.com,vip,178719
U00442,User 442,user442@gmail.com,normal,3795107
U00443,User 443,user443@gmail.com,vip,2637378
U00444,User 444,user444@gmail.com,normal,4288267
U00445,User 445,user445@gmail.com,vip,3229753
U00446,User 446,user446@gmail.com,vip,1851685
U00447,User 447,user447@gmail.com,vip,986844
U00448,User 448,user448@gmail.com,vip,2078114
U00449,User 449,user449@gmail.com,normal,1396918
U00450,User 450,user450@gmail.com,normal,2831601
U00451,User 451,user451@gmail.com,normal,113029
U00452,User 452,user452@gmail.com,vip,567049
U00453,User 453,user453@gmail.com,vip,1579278
U00454,User 454,user454@gmail.com,normal,857303
U00455,User 455,user455@gmail.com,normal,1185818
U00456,User 456,user456@gmail.com,vip,4908095
U00457,User 457,user457@gmail.com,normal,3881424
U00458,User 458,user458@gmail.com,vip,4382865
U00459,User 459,user459@gmail.com,normal,4481648
U00460,User 460,user460@gmail.com,normal,2132618
U00461,User 461,user461@gmail.com,vip,2666666
U00462,User 462,user462@gmail.com,normal,479684
U00463,User 463,user463@gmail.com,normal,3404505
U00464,User 464,user464@gmail.com,normal,4632827
U00465,User 465,user465@gmail.com,normal,800351
U00466,User 466,user466@gmail.com,normal,529852
U00467,User 467,user467@gmail.com,normal,1207837
U00468,User 468,user468@gmail.com,normal,1007532
U00469,User 469,user469@gmail.com,vip,3846671
U00470,User 470,user470@gmail.com,normal,1742258
U00471,User 471,user471@gmail.com,vip,597443
U00472,User 472,user472@gmail.com,vip,4723906
U00473,User 473,user473@gmail.com,vip,472884
U00474,User 474,user474@gmail.com,vip,3966855
U00475,User 475,user475@gmail.com,vip,4160711
U00476,User 476,user476@gmail.com,vip,2295340
U00477,User 477,user477@gmail.com,normal,4074401
U00478,User 478,user478@gmail.com,vip,1405384
U00479,User 479,user479@gmail.com,vip,2023587
U00480,User 480,user480@gmail.com,vip,439652
U00481,User 481,user481@gmail.com,normal,1540483
U00482,User 482,user482@gmail.com,vip,733481
U00483,User 483,user483@gmail.com,normal,1565448
U00484,User 484,user484@gmail.com,normal,897451
U00485,User 485,user485@gmail.com,vip,615202
U00486,User 486,user486@gmail.com,vip,142028
U00487,User 487,user487@gmail.com,vip,4155363
U00488,User 488,user488@gmail.com,vip,1374414
U00489,User 489,user489@gmail.com,normal,2995102
U00490,User 490,user490@gmail.com,normal,454585
U00491,User 491,user491@gmail.com,normal,3129050
U00492,User 492,user492@gmail.com,vip,4822885
U00493,User 493,user493@gmail.com,normal,524147
U00494,User 494,user494@gmail.com,normal,2006821
U00495,User 495,user495@gmail.com,vip,3153422
U00496,User 496,user496@gmail.com,vip,4710224
U00497,User 497,user497@gmail.com,normal,3523831
U00498,User 498,user498@gmail.com,vip,2943853
U00499,User 499,user499@gmail.com,vip,1862553
U00500,User 500,user500@gmail.com,vip,1653178
U00501,User 501,user501@gmail.com,normal,753817
U00502,User 502,user502@gmail.com,normal,1493081
U00503,User 503,user503@gmail.com,normal,1894031
U00504,User 504,user504@gmail.com,vip,5099608
U00505,User 505,user505@gmail.com,normal,4212833
U00506,User 506,user506@gmail.com,vip,4544795
U00507,User 507,user507@gmail.com,vip,2429950
U00508,User 508,user508@gmail.com,vip,3817576
U00509,User 509,user509@gmail.com,vip,790388
U00510,User 510,user510@gmail.com,vip,3663439
U00511,User 511,user511@gmail.com,normal,1047215
U00512,User 512,user512@gmail.com,vip,4142836
U00513,User 513,user513@gmail.com,vip,2255823
U00514,User 514,user514@gmail.com,vip,4617339
U00515,User 515,user515@gmail.com,vip,869668
U00516,User 516,user516@gmail.com,normal,400846
U00517,User 517,user517@gmail.com,normal,353161
U00518,User 518,user518@gmail.com,vip,2488590
U00519,User 519,user519@gmail.com,normal,672794
U00520,User 520,user520@gmail.com,normal,1777427
U00521,User 521,user521@gmail.com,vip,1458707
U00522,User 522,user522@gmail.com,vip,4285602
U00523,User 523,user523@gmail.com,normal,3875142
U00524,User 524,user524@gmail.com,vip,4880682
U00525,User 525,user525@gmail.com,vip,4701241
U00526,User 526,user526@gmail.com,normal,4203387
U00527,User 527,user527@gmail.com,normal,541530
U00528,User 528,user528@gmail.com,vip,3932164
U00529,User 529,user529@gmail.com,normal,3247583
U00530,User 530,user530@gmail.com,vip,4047815
U00531,User 531,user531@gmail.com,normal,1091326
U00532,User 532,user532@gmail.com,normal,291547
U00533,User 533,user533@gmail.com,vip,3922438
U00534,User 534,user534@gmail.com,normal,4327709
U00535,User 535,user535@gmail.com,vip,2364569
U00536,User 536,user536@gmail.com,normal,4858101
U00537,User 537,user537@gmail.com,normal,2680838
U00538,User 538,user538@gmail.com,vip,1105792
U00539,User 539,user539@gmail.com,normal,4904583
U00540,User 540,user540@gmail.com,normal,2666335
U00541,User 541,user541@gmail.com,normal,4842772
U00542,User 542,user542@gmail.com,normal,1713819
U00543,User 543,user543@gmail.com,vip,356961
U00544,User 544,user544@gmail.com,vip,2132531
U00545,User 545,user545@gmail.com,normal,4594235
U00546,User 546,user546@gmail.com,vip,1822149
U00547,User 547,user547@gmail.com,vip,2539067
U00548,User 548,user548@gmail.com,vip,2634773
U00549,User 549,user549@gmail.com,normal,3549540
U00550,User 550,user550@gmail.com,vip,1747836
U00551,User 551,user551@gmail.com,normal,2256479
U00552,User 552,user552@gmail.com,normal,1784559
U00553,User 553,user553@gmail.com,vip,278160
U00554,User 554,user554@gmail.com,vip,1322731
U00555,User 555,user555@gmail.com,vip,3482644
U00556,User 556,user556@gmail.com,vip,2517050
U00557,User 557,user557@gmail.com,normal,2933977
U00558,User 558,user558@gmail.com,vip,939685
U00559,User 559,user559@gmail.com,normal,3743323
U00560,User 560,user560@gmail.com,normal,2600183
U00561,User 561,user561@gmail.com,vip,4081015
U00562,User 562,user562@gmail.com,normal,2008745
U00563,User 563,user563@gmail.com,vip,928109
U00564,User 564,user564@gmail.com,vip,2566127
U00565,User 565,user565@gmail.com,vip,2315319
U00566,User 566,user566@gmail.com,normal,3901790
U00567,User 567,user567@gmail.com,vip,1567808
U00568,User 568,user568@gmail.com,vip,797368
U00569,User 569,user569@gmail.com,vip,3654595
U00570,User 570,user570@gmail.com,normal,4221526
U00571,User 571,user571@gmail.com,normal,4158081
U00572,User 572,user572@gmail.com,normal,2275504
U00573,User 573,user573@gmail.com,normal,4810462
U00574,User 574,user574@gmail.com,normal,3431052
U00575,User 575,user575@gmail.com,normal,2596697
U00576,User 576,user576@gmail.com,normal,2968961
U00577,User 577,user577@gmail.com,normal,2108070
U00578,User 578,user578@gmail.com,normal,4402727
U00579,User 579,user579@gmail.com,vip,3908714
U00580,User 580,user580@gmail.com,normal,4278558
U00581,User 581,user581@gmail.com,normal,3023955
U00582,User 582,user582@gmail.com,normal,3599735
U00583,User 583,user583@gmail.com,vip,147217
U00584,User 584,user584@gmail.com,vip,4643970
U00585,User 585,user585@gmail.com,normal,2142708
U00586,User 586,user586@gmail.com,vip,545397
